Doi,Usage1,Usage2,Usage3,AVG Usage,Price,Cost/Use,Journal Name
10.3322/(ISSN)1542-4863,1058,1204,800,1020.67, 93.0,0.09,"CA: A CANCER JOURNAL FOR CLINICIANS"
10.1111/(ISSN)1939-165X,2796,3426,1636,2619.33,497.0,0.19,"VETERINARY CLINICAL PATHOLOGY"
10.1111/(ISSN)1740-8261,4788,4379,1910,3692.33,826.0,0.22,"VETERINARY RADIOLOGY & ULTRASOUND"
10.1111/(ISSN)1532-950X,4439,4012,2149,3533.33,812.0,0.23,"VETERINARY SURGERY"
10.1111/(ISSN)1476-4431,4002,4600,1861,3487.67,926.0,0.27,"JOURNAL OF VETERINARY EMERGENCY AND CRITICAL CARE"
10.1111/(ISSN)1540-6261,3365,2355,1295,2338.33,642.0,0.28,"THE JOURNAL OF FINANCE"
10.1002/(ISSN)1531-4995,4793,4763,2589,4048.33,1124.0,0.28,"THE LARYNGOSCOPE"
10.1001/(ISSN)2042-3306,3940,3833,2162,3311.67,966.0,0.29,"EQUINE VETERINARY JOURNAL"
10.1111/(ISSN)1548-1387,303,1051,411,588.33,172.0,0.29,"MEDICAL ANTHROPOLOGY QUARTERLY"
10.1111/(ISSN)1555-2934,242,474,176,297.33, 88.0,0.30,"POLAR: POLITICAL AND LEGAL ANTHROPOLOGY REVIEW"
10.1002/(ISSN)1939-5582,1884,1747,1114,1581.67,505.0,0.32,"ECOLOGICAL APPLICATIONS"
10.1002/(ISSN)1939-9170,3570,4067,2466,3367.67,1123.0,0.33,"ECOLOGY"
10.1111/(ISSN)1748-5827,2821,3420,1765,2668.67,1024.0,0.38,"JOURNAL OF SMALL ANIMAL PRACTICE"
10.1002/(ISSN)1540-9309,1270,1226,622,1039.33,400.0,0.39,"FRONTIERS IN ECOLOGY AND THE ENVIRONMENT"
10.1111/(ISSN)1548-7458,141,128,139,136.00, 64.0,0.47,"VISUAL ANTHROPOLOGY REVIEW"
10.1002/(ISSN)1930-739X,2154,2156,977,1762.33,843.0,0.48,"OBESITY"
10.1111/(ISSN)1553-2712,1009,1077,648,911.33,446.0,0.49,"ACADEMIC EMERGENCY MEDICINE"
10.1111/(ISSN)1750-3841,2799,2838,1655,2430.67,1201.0,0.49,"JOURNAL OF FOOD SCIENCE"
10.1111/(ISSN)1551-8248,51,207,39, 99.00, 49.0,0.50,"ARCHEOLOGICAL PAPERS OF THE AMERICANANTHROPOLOGICAL ASSOCIATION"
10.1111/(ISSN)1548-1425,854,1477,847,1059.33,530.0,0.50,"AMERICAN ETHNOLOGIST"
10.1111/(ISSN)1548-1433,1441,1518,1025,1328.00,680.0,0.51,"AMERICAN ANTHROPOLOGIST"
10.1001/(ISSN)2042-3292,1643,1614,1456,1571.00,824.0,0.53,"EQUINE VETERINARY EDUCATION"
10.1111/(ISSN)1558-5646,2412,2563,1351,2108.67,1139.0,0.54,"EVOLUTION"
10.1002/(ISSN)1944-7973,3253,3924,1736,2971.00,1862.0,0.63,"WATER RESOURCES RESEARCH"
10.1002/(ISSN)1875-9114,865,1621,561,1015.67,669.0,0.66,"PHARMACOTHERAPY: THE JOURNAL OF HUMAN PHARMACOLOGY AND DRUG THERAPY"
10.1002/(ISSN)1557-7015,396,505,330,410.33,277.0,0.68,"ECOLOGICAL MONOGRAPHS"
10.1111/(ISSN)1532-5415,2140,2582,1149,1957.00,1353.0,0.69,"JOURNAL OF AMERICAN GERIATRICS SOCIETY"
10.1111/(ISSN)1463-5224,1446,1885,2586,1972.33,1380.0,0.70,"VETERINARY OPHTHALMOLOGY"
10.1002/(ISSN)1523-4681,2050,2257,905,1737.33,1218.0,0.70,"JOURNAL OF BONE AND MINERAL RESEARCH"
10.1002/(ISSN)1554-527X,1368,1888,1362,1539.33,1109.0,0.72,"JOURNAL OF ORTHOPAEDIC RESEARCH Â®"
10.1111/(ISSN)1728-4457,349,460,176,328.33,249.0,0.76,"POPULATION AND DEVELOPMENT REVIEW"
10.1111/(ISSN)1523-1739,1928,2028,1257,1737.67,1333.0,0.77,"CONSERVATION BIOLOGY"
10.1111/(ISSN)1476-5829,1226,1519,910,1218.33,939.0,0.77,"VETERINARY AND COMPARATIVE ONCOLOGY"
10.1002/(ISSN)1531-8249,2024,1911,1114,1683.00,1310.0,0.78,"ANNALS OF NEUROLOGY"
10.1111/(ISSN)1469-8137,6699,7551,3951,6067.00,4844.0,0.80,"NEW PHYTOLOGIST"
10.1111/(ISSN)1755-0238,730,691,474,631.67,510.0,0.81,"AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH"
10.1111/(ISSN)1548-1352,140,246,86,157.33,136.0,0.86,"ETHOS"
10.1002/(ISSN)1549-4918,2628,1959,962,1849.67,1744.0,0.94,"STEM CELLS"
10.1111/(ISSN)1548-744X,84,191,75,116.67,110.0,0.94,"CITY & SOCIETY"
10.1111/(ISSN)1469-185X,866,855,682,801.00,757.0,0.95,"BIOLOGICAL REVIEWS"
