Journal Report 1 (R4),Number of Successful Full-Text Article Requests by Month and Journal,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,
2018-01-01 to 2018-07-31,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Reporting Period Total,Reporting Period HTML,Reporting Period PDF,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18
Total for all journals,John Wiley and Sons,Wiley Online Library, , , , ,340790,139323,201467,48628,52627,56664,54467,51962,40003,36439
AAHE-ERIC/Higher Education Research Report,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0709a,AEHE,0737-1764,1536-0709,3,0,3,0,0,1,1,0,1,0
Abacus,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6281,ABAC,0001-3072,1467-6281,24,16,8,3,4,5,1,3,4,4
About Campus,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0687,ABC,1086-4822,1536-0687,14,4,10,1,2,2,1,5,0,3
Academic Emergency Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1553-2712,ACEM,1069-6563,1553-2712,648,248,400,109,78,78,122,113,67,81
Academic Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1948-7177a,DMJ,1554-1142,1948-7177,0,0,0,0,0,0,0,0,0,0
Accounting & Finance,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-629X,ACFI,0810-5391,1467-629X,22,9,13,0,0,4,8,6,2,2
Accounting Forum,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6303,ACCF,0155-9982,1467-6303,0,0,0,0,0,0,0,0,0,0
Accounting Perspectives,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1911-3838,APR,1911-382X,1911-3838,6,1,5,0,0,0,1,1,2,2
Acta Anaesthesiologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-6576,AAS,0001-5172,1399-6576,149,63,86,22,9,20,16,28,21,33
Acta Archaeologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0390,AAR,0065-101X,1600-0390,16,8,8,3,0,0,6,5,2,0
Acta Biochimica et Biophysica Sinica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-7270,ABBS,1672-9145,1745-7270,8,2,6,0,0,1,2,0,0,5
Acta Biotechnologica,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3846,2226,0138-4988,1521-3846,11,0,11,1,0,1,4,3,1,1
Acta Botanica Neerlandica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1438-8677a,PLB,0044-5983,1438-8677,0,0,0,0,0,0,0,0,0,0
Acta Chimica Sinica English Edition,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1614-7065a,2434,0256-7660,1614-7065,0,0,0,0,0,0,0,0,0,0
Acta Chirurgica Austriaca,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1563-2563,ACA,0001-544X,1563-2563,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica,John Wiley and Sons,Wiley Online Library,10.1107/S0365110X,CSR,0365-110X,0365-110X,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section A,John Wiley and Sons,Wiley Online Library,10.1107/S01087673,AYA,0108-7673,1600-5724,5,0,5,0,0,3,0,1,0,1
Acta Crystallographica Section A,John Wiley and Sons,Wiley Online Library,10.1107/S05677394,AYA,0567-7394,1600-5724,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section A,John Wiley and Sons,Wiley Online Library,10.1107/S20532733,AYA,2053-2733,2053-2733,4,0,4,0,0,0,2,1,1,0
Acta Crystallographica Section A,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-5724a,AYA,0567-7394,1600-5724,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section A,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2053-2733,AYA,2053-2733,2053-2733,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1107/S01087681,AYB,0108-7681,1600-5740,2,0,2,0,0,0,0,2,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1107/S05677408,AYB,0567-7408,1600-5740,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1107/S20525192,AYB,2052-5192,2052-5206,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1107/S20525206,AYB,2052-5206,2052-5206,1,0,1,0,0,0,0,0,0,1
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-5740a,AYB,0567-7408,1600-5740,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section B,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2052-5206,AYB,2052-5206,2052-5206,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section C,John Wiley and Sons,Wiley Online Library,10.1107/S01082701,AYC,0108-2701,1600-5759,3,0,3,0,1,0,1,0,1,0
Acta Crystallographica Section C,John Wiley and Sons,Wiley Online Library,10.1107/S20532296,AYC,2053-2296,2053-2296,1,0,1,1,0,0,0,0,0,0
Acta Crystallographica Section C,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-5759,AYC,0108-2701,1600-5759,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section C,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2053-2296,AYC,2053-2296,2053-2296,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section D,John Wiley and Sons,Wiley Online Library,10.1107/S13990047,AYD,1399-0047,1399-0047,19,0,19,2,1,1,3,6,2,4
Acta Crystallographica Section D,John Wiley and Sons,Wiley Online Library,10.1107/S20597983,AYD,2059-7983,2059-7983,5,0,5,0,0,0,0,3,1,1
Acta Crystallographica Section D,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-0047,AYD,1399-0047,1399-0047,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section E,John Wiley and Sons,Wiley Online Library,10.1107/S16005368,AYE2,1600-5368,1600-5368,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section E,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-5368,AYE2,1600-5368,1600-5368,0,0,0,0,0,0,0,0,0,0
Acta Crystallographica Section F,John Wiley and Sons,Wiley Online Library,10.1107/S17443091,AYF2,1744-3091,1744-3091,5,0,5,1,2,0,1,0,0,1
Acta Crystallographica Section F,John Wiley and Sons,Wiley Online Library,10.1107/S2053230X,AYF2,2053-230X,2053-230X,7,0,7,2,1,1,2,0,0,1
Acta Crystallographica Section F,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2053-230X,AYF2,2053-230X,2053-230X,0,0,0,0,0,0,0,0,0,0
Acta Geologica Sinica - English Edition,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-6724,ACGS,1000-9515,1755-6724,18,6,12,3,5,1,6,0,1,2
Acta Geologica Sinica-English,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-6724a,ACGS,0001-5717,1755-6724,0,0,0,0,0,0,0,0,0,0
Acta hydrochimica et hydrobiologica,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-401X,2047,0323-4320,1521-401X,4,0,4,0,0,0,0,2,2,0
Acta Medica Austriaca,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1563-2571,AMA,0303-8173,1563-2571,0,0,0,0,0,0,0,0,0,0
Acta Medica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)0954-6820a,JOIM,0001-6101,0954-6820,60,7,53,20,5,7,12,4,6,6
Acta Neurologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0404,ANE,0001-6314,1600-0404,211,85,126,36,29,26,45,25,19,31
Acta Neuropsychiatrica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1601-5215,ACN,0924-2708,1601-5215,11,4,7,1,1,3,1,1,3,1
Acta Obstetricia et Gynecologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0412,AOGS,0001-6349,1600-0412,186,94,92,49,27,25,32,22,16,15
Acta Ophthalmologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-3768,AOS,1755-375X,1755-3768,122,53,69,28,16,13,23,12,17,13
Acta Ophthalmologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0420,AOS,1395-3907,1600-0420,36,12,24,6,1,7,8,5,2,7
Acta Paediatrica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1651-2227,APA,0803-5253,1651-2227,373,125,248,52,69,61,59,49,38,45
Acta Pathologica Microbiologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463h,APM,0365-5555,1600-0463,18,0,18,0,2,2,3,4,4,3
Acta Pathologica Microbiologica Scandinavica Section A Pathology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463d,APM,0365-4184,1600-0463,5,2,3,1,1,0,0,1,2,0
Acta Pathologica Microbiologica Scandinavica Section B Microbiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463e,APM,0304-131X,1600-0463,1,0,1,1,0,0,0,0,0,0
Acta Pathologica Microbiologica Scandinavica Section B Microbiology and Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0463g,APM,0365-5563,1600-0463,1,0,1,0,0,0,0,0,0,1
