Journal Report 5 (R4),Number of Successful Full-Text Article Requests by Year-of-Publication (YOP) and Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 to 2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Articles In Press   ,YOP 2017            ,YOP 2016            ,YOP 2015            ,YOP 2014            ,YOP 2013            ,YOP 2012            ,YOP 2011            ,YOP 2010            ,YOP 2009            ,YOP 2008            ,YOP 2007            ,YOP 2006            ,YOP 2005            ,YOP 2004            ,YOP 2003            ,YOP 2002            ,YOP 2001            ,YOP 2000            ,YOP 1999            ,YOP 1998            ,YOP 1997            ,YOP 1996            ,YOP 1995            ,YOP 1994            ,YOP 1993            ,YOP 1992            ,YOP 1991            ,YOP 1990            ,YOP Pre 1990        
Total for all journals,John Wiley and Sons,Wiley Online Library, , , , ,58894,92288,63890,44173,37640,33420,28470,25465,22805,18838,19405,18604,16064,14281,12859,11571,9973,8287,7649,5509,4476,4209,2908,2529,2291,2014,1962,1749,1653,21829
AAHE-ERIC/Higher Education Research Report,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0709a,AEHE                ,0737-1764    ,1536-0709    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Abacus,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6281,ABAC                ,0001-3072    ,1467-6281    ,2,7,15,3,6,4,3,0,3,1,1,2,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,5
About Campus,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0687,ABC                 ,1086-4822    ,1536-0687    ,0,11,7,0,1,2,2,1,0,3,2,5,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Academic Emergency Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1553-2712,ACEM                ,1069-6563    ,1553-2712    ,54,91,135,77,94,93,55,87,41,50,69,22,14,19,11,24,40,11,20,16,4,20,21,6,3,0,0,0,0,0
Accounting & Finance,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-629X,ACFI                ,0810-5391    ,1467-629X    ,10,5,4,1,2,4,0,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Accounting Perspectives,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1911-3838,APR                 ,1911-382X    ,1911-3838    ,0,0,1,1,4,0,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Anaesthesiologica Scandinavica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-6576,AAS                 ,0001-5172    ,1399-6576    ,17,36,23,18,8,25,11,12,11,15,7,11,4,12,9,9,3,15,13,3,4,2,5,7,3,5,9,2,1,34
Acta Archaeologica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0390,AAR                 ,0065-101X    ,1600-0390    ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta Biochimica et Biophysica Sinica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-7270,ABBS                ,1672-9145    ,1745-7270    ,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
