Journal Code,Journal Code with Format,Media,USA,UK,Europe,Rest of World
5000000075,5000000075,Online,$ 751,£594,€ 753,$ 1160
0WERD,0WERD,Online,$ 994,£744,€ 841,$ 994
AAB,AAB/E,Online,"$1,380",£753,€ 958,"$1,613"
AAE,AAE/E,Online,"$1,221",£729,€ 923,"$1,422"
AAH,AAH/E,Online,$496,£385,€ 459,$496
AAR,AAR/E,Online,$216,£130,€ 164,$253
AAS,AAS/E,Online,$876,£523,€ 661,"$1,020"
AB,AB/E,Online,"$4,585","£2,345","€ 2,961","$4,585"
ABAC,ABAC/E,Online,$874,£613,€ 701,"$1,196"
ACE,ACE/E,Online,$426,£219,€ 278,$426
ACEM,ACEM/E,Online,$446,£233,€ 291,$435
ACER,ACER/E,Online,"$1,860","£1,137","€ 1,444","$2,222"
ACFI,ACFI/E,Online,$838,£582,€ 738,"$1,135"
ACGS,ACGS/E,Online,$546,£284,€ 355,$546
ACP,ACP/E,Online,"$2,907","£1,484","€ 1,876","$2,907"
ACPS,ACPS/E,Online,"$2,054","£1,225","€ 1,557","$2,395"
ACS,ACS/E,Online,"$4,619","£2,357","€ 2,981","$4,619"
ACV,ACV/E,Online,$982,£533,€ 675,"$1,146"
AD,AD/E,Online,$615,£329,€ 397,$615
ADAW,ADAW/E,Online,"$7,748","£3,956","€ 5,001","$7,748"
ADB,ADB/E,Online,"$1,655","£1,003","€ 1,272","$1,961"
,,,,,,
ADBI,ADBI/E(MEDIUM),Online,"$3,440","£2,614","€ 2,941","$3,440"
,,,,,,
ADD,ADD/E,Online,"$3,976","£2,154","€ 2,735","$4,639"
ADEM,ADEM/E,Online,"$3,974","£2,031","€ 3,212","$3,974"
ADFM,ADFM/E,Online,"$11,017","£5,624","€ 9,126","$11,017"
,,,,,,
ADHM,ADHM/E(MEDIUM),Online,"$3,949","£2,517","€ 3,087","$3,949"
,,,,,,
ADJ,ADJ/E,Online,$470,£254,€ 323,$492
ADMA,ADMA/E,Online,"$19,146","£9,774","€ 14,813","$19,146"
,,,,,,
ADMI,ADMI/E(MEDIUM),Online,"$3,769","£2,357","€ 2,973","$3,769"
,,,,,,
,,,,,,
ADMT,ADMT/E(MEDIUM),Online,"$3,440","£2,318","€ 3,127","$3,440"
,,,,,,
,,,,,,
ADOM,ADOM/E(MEDIUM),Online,"$3,725","£2,330","€ 2,783","$3,725"
,,,,,,
ADSC,ADSC/E,Online,"$4,599","£2,351","€ 3,941","$4,599"
ADSP,ADSP/E,Online,$88,£64,€ 74,$88
,,,,,,
ADSU,ADSU/E(MEDIUM),Online,"$3,440","£2,614","€ 2,941","$3,440"
,,,,,,
AEC,AEC/E,Online,"$2,214","£1,373","€ 1,742","$2,685"
AEHR,AEHR/E,Online,$410,£286,€ 364,$555
AEJ,AEJ/E,Online,$306,£176,€ 227,$346
,,,,,,
AELM,AELM/E(MEDIUM),Online,"$3,647","£2,430","€ 3,315","$3,647"
,,,,,,
AEN,AEN/E,Online,$870,£532,€ 674,"$1,039"
,,,,,,
AENM,AENM/E(MEDIUM),Online,"$4,305","£2,711","€ 3,144","$4,305"
,,,,,,
AEPA,AEPA/E,Online,$424,£297,€ 377,$579
AEPR,AEPR/E,Online,$378,£227,€ 287,$435
AEQ,AEQ/E,Online,$173,£87,€ 108,$165
AERE,AERE/E,Online,$817,£573,€ 729,"$1,120"
AFDR,AFDR/E,Online,$511,£305,€ 387,$590
AFE,AFE/E,Online,"$1,729",£935,"€ 1,191","$2,013"
AGE,AGE/E,Online,"$2,332","£1,266","€ 1,605","$2,719"
AGEC,AGEC/E,Online,"$1,336",£746,€ 947,"$1,458"
AGR,AGR/E,Online,"$2,974","£1,585","€ 2,002","$2,974"
AHE,AHE/E,Online,"$2,873","£1,558","€ 1,974","$3,349"
AHG,AHG/E,Online,"$1,274",£689,€ 876,"$1,486"
AHIS,AHIS/E,Online,"$1,551",£809,"€ 1,026","$1,811"
AIC,AIC/E,Online,"$3,651","£1,865","€ 2,360","$3,651"
AJAD,AJAD/E,Online,"$1,239",£661,€ 834,"$1,239"
AJAG,AJAG/E,Online,$630,£257,€ 325,$499
AJAR,AJAR/E,Online,$766,£497,€ 632,$969
AJB2,AJB2/E,Online,$944,£733,€ 874,$944
AJCO,AJCO/E,Online,$878,£542,€ 688,"$1,062"
AJCP,AJCP/E,Online,"$2,169","£1,365","€ 1,751","$2,169"
AJD,AJD/E,Online,$964,£596,€ 757,"$1,164"
AJE,AJE/E,Online,"$2,266","£1,226","€ 1,559","$2,643"
AJES,AJES/E,Online,$264,£205,€ 262,$385
AJFS,AJFS/E,Online,"$1,049",£596,€ 724,"$1,049"
AJGW,AJGW/E,Online,$510,£258,€ 325,$510
AJH,AJH/E,Online,"$8,114","£4,143","€ 5,236","$8,114"
AJHB,AJHB/E,Online,"$2,576","£1,317","€ 1,663","$2,576"
AJI,AJI/E,Online,"$2,609","£1,557","€ 1,976","$3,043"
AJIM,AJIM/E,Online,"$9,532","£4,869","€ 6,153","$9,532"
AJO,AJO/E,Online,$742,£464,€ 586,$896
,,,,,,
AJOC,AJOC/E(MEDIUM),Online,"$4,638","£2,972","€ 3,623","$4,638"
,,,,,,
AJP,AJP/E,Online,"$5,418","£2,768","€ 3,500","$5,418"
AJPA,AJPA/E,Online,"$4,677","£2,389","€ 3,023","$4,677"
AJPH,AJPH/E,Online,$533,£373,€ 474,$724
AJPS,AJPS/E,Online,"$1,092",£853,"€ 1,077","$1,662"
AJPY,AJPY/E,Online,$437,£262,€ 348,$437
AJR,AJR/E,Online,"$1,564",£968,"€ 1,232","$1,895"
AJS4,AJS4/E,Online,$237,£159,€ 216,$237
AJSP,AJSP/E,Online,$915,£562,€ 714,"$1,098"
AJT,AJT/E,Online,"$3,430","£2,039","€ 2,592","$3,994"
AJUM,AJUM/E,Online,$260,£165,€ 210,$260
ALL,ALL/E,Online,"$2,358","£1,405","€ 1,787","$2,750"
,,,,,,
ALR,ALR/E(MEDIUM),Online,$965,£609,€ 706,$965
,,,,,,
ALT,ALT/E,Online,$515,£267,€ 334,$515
AMAN,AMAN/E,Online,$680,£343,€ 431,$666
AMET,AMET/E,Online,$530,£268,€ 341,$519
ANA,ANA/E,Online,"$1,310",£669,€ 845,"$1,310"
ANAE,ANAE/E,Online,"$1,908","£1,035","€ 1,315","$2,226"
AND,AND/E,Online,"$1,268",£737,€ 932,"$1,481"
ANDP,ANDP/E,Online,"$2,524","£1,289","€ 2,071","$2,524"
ANDR,ANDR/E,Online,"$1,622",£880,"€ 1,316","$1,897"
ANE,ANE/E,Online,"$2,003","£1,197","€ 1,519","$2,340"
ANEC,ANEC/E,Online,$650,£502,€ 640,$980
ANGE,ANGE/E,Online,"$14,606","£7,455","€ 10,485","$14,606"
ANHU,ANHU/E,Online,$110,£51,€ 65,$97
ANIE,ANIE/E,Online,"$18,377","£9,340","€ 12,194","$18,377"
ANOC,ANOC/E,Online,$119,£63,€ 77,$118
ANS,ANS/E,Online,"$2,463","£1,521","€ 1,931","$2,974"
ANTH,ANTH/E,Online,$235,£144,€ 178,$251
ANTI,ANTI/E,Online,"$1,382",£826,"€ 1,047","$1,615"
ANU,ANU/E,Online,"$1,867","£1,016","€ 1,289","$2,178"
ANZF,ANZF/E,Online,$377,£239,€ 280,$377
ANZS,ANZS/E,Online,$439,£307,€ 388,$598
AOC,AOC/E,Online,"$5,162","£2,637","€ 3,333","$5,162"
AOCS,AOCS/E,Online,$988,£767,€ 915,$988
AOGS,AOGS/E,Online,"$1,991","£1,204","€ 1,594","$1,991"
AOR,AOR/E,Online,"$2,782","£2,030","€ 2,577","$3,973"
AORN,AORN/E,Online,$573,£445,€ 530,$573
AOS,AOS/E,Online,$853,£512,€ 647,$998
AOT,AOT/E,Online,$639,£394,€ 502,$772
AP,AP/E,Online,$455,£276,€ 366,$455
APA,APA/E,Online,"$1,445",£845,"€ 1,075","$1,654"
APAA,APAA/E,Online,$49,£28,€ 34,$49
APCE,APCE/E,Online,$782,£439,€ 555,$915
APEL,APEL/E,Online,$453,£321,€ 403,$618
APHA,APHA/E,Online,"$1,582",£837,"€ 1,059","$1,849"
APHR,APHR/E,Online,$876,£475,€ 551,$876
APHW,APHW/E,Online,$864,£439,€ 560,$864
,,,,,,
APJ,APJ/E(MEDIUM),Online,"$1,957","£1,001","€ 1,266","$1,957"
,,,,,,
APL,APL/E,Online,$648,£406,€ 511,$787
APM,APM/E,Online,"$1,871","£1,120","€ 1,419","$2,186"
APP,APP/E,Online,"$38,011","£19,394","€ 24,526","$38,011"
,,,,,,
APPY,APPY/E(MEDIUM),Online,$281,£202,€ 231,$281
,,,,,,
APS,APS/E,Online,$645,£332,€ 417,$645
APT,APT/E,Online,"$4,653","£2,517","€ 3,197","$5,427"
APV,APV/E,Online,$387,£277,€ 351,$537
