Last Updated,02/10/18,.,WILEY CONFIDENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley Online Library Journals List  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Code used by Wiley ,ISSN,eSSN,Title,Price,2017 Usage,Cost per use,FTE Band (if applicable),Journal DOI,Wiley  Online Library URL,General Subject Category,Primary Subject Area,Media,External notes PRICING,POD availability,Online Open,Included in Database Model,Full Collection,STM Collection,SSH Collection,Medicine & Nursing Collection,Not in any Standard Collections,R4L Collection,INASP Collection,Collection Start year/Start year for Current Sub,Collection Start Volume/Start Vol for current Sub,Current Year Volume,Current Year Issue,Backfile Start Year,Backfile Start Volume,Backfile Start Issue,Backfile End Year,Backfile End Volume,Backfile End Issue,Society Name,2018 Impact Factor,
2001,0044-8249,1521-3757,ANGEWANDTE CHEMIE,#N/A,2418,#N/A,,10.1002/(ISSN)1521-3757,https://onlinelibrary.wiley.com/journal/15213757,Chemistry,General & Introductory Chemistry,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,110,131,52,1887,VOL. 1,1,1997,109,24,Gesellschaft Deutscher Chemiker,,
2002,1433-7851,1521-3773,ANGEWANDTE CHEMIE INTERNATIONAL EDITION,#N/A,548,#N/A,,10.1002/(ISSN)1521-3773,https://onlinelibrary.wiley.com/journal/15213773,Chemistry,General & Introductory Chemistry,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,37,58,52,1962,VOL. 1,1,1997,36,24,Gesellschaft Deutscher Chemiker,11.994,
2004,0009-286X,1522-2640,CHEMIE-INGENIEUR-TECHNIK (CIT),#N/A,82,#N/A,,10.1002/(ISSN)1522-2640,https://onlinelibrary.wiley.com/journal/15222640,Chemistry,General & Introductory Chemical Engineering,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2000,72,91,11,1949,VOL. 21,1-2,1999,71,12,Gesellschaft Deutscher Chemiker,0.877,
2005,1434-1948,1099-0682,EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,#N/A,171,#N/A,,10.1002/(ISSN)1099-0682c,https://onlinelibrary.wiley.com/journal/10990682c,Chemistry,Inorganic Chemistry,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,131,2019,48,1868,VOL. 1,1,1997,130,12,ChemPubSoc Europe,2.444,
2006,0009-2851,1521-3781,CHEMIE IN UNSERER ZEIT (CHIUZ),#N/A,22,#N/A,,10.1002/(ISSN)1521-3781,https://onlinelibrary.wiley.com/journal/15213781,Chemistry,General & Introductory Chemistry,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2000,34,53,6,1967,VOL. 1,1,1999,33,6,Gesellschaft Deutscher Chemiker,0.405,
2007,0031-9252,1521-3943,PHYSIK IN UNSERER ZEIT (PHIUZ),#N/A,26,#N/A,,10.1002/(ISSN)1521-3943,https://onlinelibrary.wiley.com/journal/15213943,Physical Sciences & Engineering,General & Introductory Physics,Print & Online,,,No,Yes,Full Collection,STM Collection,,,,,INASP Collection,2000,31,50,6,1970,VOL. 1,1,1999,30,6,,,
2008,0045-205X,1521-415X,BIOLOGIE IN UNSERER ZEIT (BIUZ),#N/A,12,#N/A,,10.1002/(ISSN)1521-415X,https://onlinelibrary.wiley.com/journal/1521415X,Life Sciences,General & Introductory Life Sciences,Print & Online,,,No,Yes,Full Collection,STM Collection,,,,,INASP Collection,2000,30,49,6,1971,VOL. 1,1,1999,29,6,,,
2010,0947-5117,1521-4176,MATERIALS AND CORROSION/WERKSTOFFE UND KORROSION,#N/A,37,#N/A,,10.1002/(ISSN)1521-4176,https://onlinelibrary.wiley.com/journal/15214176,Physical Sciences & Engineering,Corrosion,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,49,70,12,1950,VOL. 1,1,1997,48,12,Combinations of societies for Wiley-VCH journals,1.450,
2012,0933-5137,1521-4052,MATERIALWISSENSCHAFT UND WERKSTOFFTECHNIK,#N/A,31,#N/A,,10.1002/(ISSN)1521-4052,https://onlinelibrary.wiley.com/journal/15214052,Physical Sciences & Engineering,General & Introductory Materials Science,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1999,30,50,12,1970,VOL. 1,1,1998,29,12,,0.393,
2014,0721-3115,1521-4087,"PROPELLANTS, EXPLOSIVES, PYROTECHNICS",#N/A,44,#N/A,,10.1002/(ISSN)1521-4087,https://onlinelibrary.wiley.com/journal/15214087,Chemistry,General & Introductory Chemistry,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,23,44,12,1976,VOL. 1,1,1997,22,6,,1.578,
2019,0365-6233,1521-4184,ARCHIV DER PHARMAZIE,#N/A,75,#N/A,,10.1002/(ISSN)1521-4184,https://onlinelibrary.wiley.com/journal/15214184,Chemistry,Pharmaceutical & Medicinal Chemistry,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,331,352,11,1822,VOL. 1,1,1997,330,12,Deutsche Pharmazeutische Gesellschaft,1.994,
2022,1868-1743,1868-1751,MOLECULAR INFORMATICS,#N/A,0,#N/A,,10.1002/(ISSN)1868-1751,https://onlinelibrary.wiley.com/journal/18681751,Chemistry,Computational Chemistry & Molecular Modeling,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,17,38,12,1982,VOL. 1,1,1997,49,12,,1.570,
2027,0173-0835,1522-2683,ELECTROPHORESIS,#N/A,505,#N/A,,10.1002/(ISSN)1522-2683,https://onlinelibrary.wiley.com/journal/15222683,Chemistry,Biochemistry (Chemical Biology),Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1999,20,40,24,1980,VOL. 1,1,1998,19,18,,2.482,
2031,0170-6233,1522-2365,BERICHTE ZUR WISSENSCHAFTSGESCHICHTE,#N/A,20,#N/A,,10.1002/(ISSN)1522-2365,https://onlinelibrary.wiley.com/journal/15222365,Chemistry,Process Development,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2002,25,42,4,1978,VOL. 1,1-2,2001,24,4,Gessellschaft Fuer Wissenschaftsgeschichte,0.226,
2035,0947-076X,1522-2454,VAKUUM IN FORSCHUNG UND PRAXIS,#N/A,12,#N/A,,10.1002/(ISSN)1522-2454,https://onlinelibrary.wiley.com/journal/15222454,Physical Sciences & Engineering,"Thin Films, Surfaces & Interfaces",Print & Online,,,No,Yes,Full Collection,STM Collection,,,,,INASP Collection,2000,12,31,6,1989,VOL. 1,1-4,1999,11,4,,,
2040,0014-2980,1521-4141,EUROPEAN JOURNAL OF IMMUNOLOGY,#N/A,1636,#N/A,,10.1002/(ISSN)1521-4141,https://onlinelibrary.wiley.com/journal/15214141,Medicine,Immunology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,28,49,12,1971,VOL. 1,1,1997,27,12,European Federation of Immunological Societies,4.227,
2041,0038-9056,1521-379X,STARCH,#N/A,254,#N/A,,10.1002/(ISSN)1521-379X,https://onlinelibrary.wiley.com/journal/1521379X,"Agriculture, Aquaculture & Food Science",Food Chemistry,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,50,71,12,1949,Vol. 1,,1997,,,,1.837,
2044,0930-7516,1521-4125,CHEMICAL ENGINEERING & TECHNOLOGY (CET),#N/A,185,#N/A,,10.1002/(ISSN)1521-4125,https://onlinelibrary.wiley.com/journal/15214125,Chemistry,General & Introductory Chemical Engineering,Online,E-only title. ,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,21,42,12,1987,VOL. 10,1,1997,20,9,,2.051,
2045,1436-8730,1522-2624,JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,#N/A,14,#N/A,,10.1002/(ISSN)1522-2624,https://onlinelibrary.wiley.com/journal/15222624,"Agriculture, Aquaculture & Food Science",Soil,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1999,162,182,6,1922,VOL. 1,1,1998,161,1-6,,2.102,
2046,1434-193X,1099-0690,EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,#N/A,59,#N/A,,10.1002/(ISSN)1099-0690,https://onlinelibrary.wiley.com/journal/10990690,Chemistry,Organic Chemistry,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,1998,2019,48,1832,VOL. 1,1,1997,1997,12,ChemPubSoc Europe,2.834,
2047,1863-0650,1863-0669,"CLEAN - SOIL, AIR, WATER",#N/A,16,#N/A,,10.1002/(ISSN)1863-0669,https://onlinelibrary.wiley.com/journal/18630669,"Earth, Space & Environmental Sciences",Environmental Chemistry,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,26,47,12,1973,VOL. 1,1,1997,25,6,,,
2049,1040-0397,1521-4109,ELECTROANALYSIS,#N/A,207,#N/A,,10.1002/(ISSN)1521-4109,https://onlinelibrary.wiley.com/journal/15214109,Chemistry,Analytical Chemistry,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,10,31,12,1989,VOL. 1,1,1997,9,18,,2.471,
2050,1617-9439,1521-3722,PHYSIK JOURNAL,470,6,$78.33,,10.1002/(ISSN)1521-3722,www.pro-physik.de,Physical Sciences & Engineering,General & Introductory Physics,Print & Online,Print Only title,,No,No,,,,,Not in any Standard Collection,,,,,18,12,,,,,,,Deutsche Physikalische Gesellschaft,,
2056,0934-0866,1521-4117,PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION,#N/A,98,#N/A,,10.1002/(ISSN)1521-4117,https://onlinelibrary.wiley.com/journal/15214117,Physical Sciences & Engineering,General & Introductory Materials Science,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1998,15,36,12,1984,VOL. 1,1-4,1997,14,6,,4.367,
2057,0172-1518,1522-2357,FORSCHUNG,#N/A,3,#N/A,,10.1002/(ISSN)1522-2357,https://onlinelibrary.wiley.com/journal/15222357,Life Sciences,General & Introductory Life Sciences,Print & Online,,,No,Yes,Full Collection,STM Collection,,,,,INASP Collection,2001,26,44,4,,,,,,,Deutsche Forschungsgemeinschaft,,
2058,0172-1526,1522-2322,GERMAN RESEARCH,#N/A,2,#N/A,,10.1002/(ISSN)1522-2322,https://onlinelibrary.wiley.com/journal/15222322,Life Sciences,General & Introductory Life Sciences,Print & Online,,,No,Yes,Full Collection,STM Collection,,,,,INASP Collection,2001,23,41,3,,,,,,,Deutsche Forschungsgemeinschaft,,
